제목,내용,조회수,첨부파일명,첨부파일 링크,출처
"과기정통부, 글로벌 ICT 표준 콘퍼런스 개최","과학기술정보통신부가 4차 산업혁명 주요 기술 표준개발 성과와 표준화 동향을 공유하는 '글로벌 ICT 표준 콘퍼런스 2017(GISC 2017)'을 28~29일 양일간 개최한다.행사는 4차 산업혁명 관련 강연으로 주목받는 송길영 다음소프트 부사장과 이민화 벤처기업협회 회장의 '적응과 협력', '4차 산업혁명과 표준' 특강, 국제표준 전문가인 김형준 ETRI 본부장의 정책제언으로 시작한다.",22,,,전자신문
5G 확산 주도할 6대 융합서비스 시나리오 공개,"5세대(5G) 이동통신 확산을 주도할 6대 융합서비스 시나리오가 공개됐다. 개념에 머무르던 것을 처음 구체화, 의미가 남다르다. 23일 '글로벌 5G 이벤트'에서 공개된 5G 융합서비스 시나리오는 '타 산업과 협력으로 5G를 확산하고 생태계 경쟁력을 제고한다'는 목표를 명시했다. 몰입형, 편재형 등 5대 분야에서 6개 대표 서비스를 선정, 기술 요구사항과 서비스 아키텍처, 개발·확산 로드맵을 기술했다.",23,,,전자신문
"美 FCC, 망중립성 원칙 폐기 공식 발표",FCC “자유시장 원칙에 반해 폐기돼야”…구글·페북·넷플릭스 등 반발   미국 연방통신위원회(FCC)가 22일(현지시간) 버락 오바마 행정부의 망중립성(Net Neutrality) 정책을 뒤집는 최종(안)을 공개했다. 인터넷 서비스 제공자(ISP)가 웹 콘텐츠를 차단하거나 감속시키지 못하도록 하는 망중립성 원칙은 2015년 제정된 뒤 2년 만에 폐기 수순을 밟게 됐다.,20,,,전자신문
한·중·일·미·EU '글로벌 주파수 조화' 한목소리···28㎓ 표준 유력,"우리나라와 미국, 중국, 일본, 유럽연합(EU)이 5세대(5G) 이동통신 상용화와 확산을 위해서는 글로벌 주파수 조화가 필요하다는 데 의견을 모았다. 특히 EU가 26㎓ 이상 대역을 공통 대역으로 포함시키는 방안을 타진하고 있다고 밝혀 한국, 미국, 일본이 5G 용도로 사용할 28㎓ 대역 국제 표준화 가능성이 짙어졌다. 과학기술정보통신부가 22일 개최한 '글로벌 5G 이벤트'에 참석한 베르나르 바라니 EU 정보통신총국 부국장은 “저대역 1.5㎓와 3.6㎓, 고대역 26㎓를 2019년부터 5G 용도로 할당할 것”이라면서 “26㎓ 상위 대역 주파수를 공통 블록에 넣을지 고민하고 있다”고 밝혔다.",9,,,전자신문
FCC '망 중립성 원칙' 폐지 준비,연방통신위원회(FCC)가 '망 중립성 원칙(Net Neutrality Rules)' 폐지를 준비 중이라고 뉴욕타임스(NYT)를 비롯한 미국 언론이 21일(현지시간) 보도했다.망 중립성은 인터넷에서 데이터를 주고받을 때 인터넷망사업자(ISP)가 데이터 내용이나 양 등에 따라 데이터 속도나 망 이용료 등에 대한 차별을 금지하는 원칙이다.,8,,,전자신문
범정부 디지털산업 컨트롤타워 설립...규제 패스트트랙 도입,"정보통신기술(ICT) 융합 산업 진흥과 규제 해소를 위한 범정부 차원의 컨트롤타워 설립이 추진된다. 스타트업이 규제 해소 등 법·제도 개선을 신청 가능하도록 하고, 일자리 창출 산업에는 2년 동안 규제를 유예한다. 국회가 4차 산업혁명 선도를 목표로 이 같은 내용의 '디지털 기반 산업 기본법(안)' 제정 논의에 공식 착수했다.",18,,,전자신문
"유영민 과기정통부 장관 ""내년 5G 주파수 공급하겠다""",유영민 과학기술정보통신부 장관이 내년 5세대(5G) 이동통신 주파수 경매 실시를 공식화했다. 유 장관은 20일 열린 '2017 전파방송산업 진흥주간 개막식'에서 “5G 이통 주도권 확보를 위한 노력이 2019년 상용화로 결실을 맺도록 내년에 신규 주파수를 공급할 계획”이라고 밝혔다.   유 장관이 5G 주파수 경매 시기를 내년으로 확정 언급한 건 처음이다. 이에 따라 이통서비스 사업자는 5G 연구개발(R&D)과 투자 불확실성을 상당 부분 해소할 수 있게 될 것으로 전망된다.,17,,,전자신문
드론 떴다···공공 안전도 떴다,“조난자가 발생했다. 드론 출동하라.” 20일 오전 강원 춘천소방서에 조난 신고가 접수되자 열화상·광학줌 카메라를 탑재한 관제 드론이 가볍게 날아올라 순식간에 해발 300미터 높이 봉의산 정상에 도착했다. 카메라 덕분에 쉽게 조난자를 발견할 수 있었다. 구조대와 구조헬기가 현장에 도착해 조난자를 후송하는 전 과정이 고해상 카메라를 통해 구조본부와 병원에 실시간 생중계되면서 환자의 생명을 구하는 '골든타임'을 확보할 수 있었다.,19,,,전자신문
5G 시대 앞두고 '주파수반납제' 의제 부상,이동통신사가 불가피한 이유로 활용이 어려워진 주파수를 반납할 수 있도록 하는 법률안이 발의됐다. 5세대(5G) 이동통신 시대를 앞두고 주파수 수급과 활용을 유연화 하는 제도개선 논의 시발점이 될지 주목된다. 국회 과학기술정보방송통신위원회 소속 오세정(국민의당) 의원은 주파수 반납제 내용을 담은 전파법 개정안을 발의했다.,10,,,전자신문
[2017 전파방송산업 진흥주간]'전파가 이끄는 4차 산업혁명',2017 전파방송산업 진흥주간 개막식이 20일 오전 11시 서울 양재동 더케이호텔 그랜드볼룸에서 개최된다. 유영민 과학기술정보통신부 장관 등 내외빈 300여명이 참석해 전파방송산업 발전에 기여한 공로자를 격려하고 산업 발전을 도모한다.,8,,,전자신문
"전국 단일 재난안전망, 14년 논의 끝에 내년 첫선","2003년 대구지하철 화재 참사. 지하철에서 발생된 화재로, 192명이 사망하고 148명이 부상한 대형 참사다. 당시 참사는 현장에서 사고에 대응하는 소방, 지하철, 지방자치단체, 경찰 등 간 지휘 체계가 원활하지 않아 피해가 커졌다. 이 참사를 계기로 재난 대응 유관 기관 간 통신망을 단일화한 재난안전망 구축 논의가 시작됐다. 지지부진한 논의를 거쳐 14년 만인 내년 초 세계 최초로 롱텀에벌루션(LTE) 재난안전망이 평창 동계올림픽 기간에 가동된다.",12,,,전자신문
"미국·영국, LTE재난안전망 구축 추진","해외에서는 미국과 영국이 재난안전롱텀에벌루션(PS-LTE) 기반의 재난안전망 구축을 추진한다. 미국은 자가망 기반 고정기지국과 이동기지국, 위성을 활용한다. 관리 주체는 상무부 정보통신관리청 소속 독립 기구다.    구축지원비 65억달러(약 7조8000억원), 계획지원비 1억3500만달러(1600억원)를 투입한다. 주정부의 예산은 별도다. 올해 사업자 선정을 완료했다. 2021년 4분기 완료 목표다. 사업자가 면적과 인구 대비 목표를 제시한다. 제시한 목표는 사업자 선정 평가 요소로 반영한다.",9,,,전자신문
"한국,ITU ICT 발전지수 세계 1위 내줘",우리나라가 정보통신기술(ICT) 발전지수에서 176개국 가운데 2위를 차지했다. 2014년 이후 3년 만에 1위 자리를 내줬다. 유선전화 가입회선 수와 컴퓨터 보유가구 비율 하락 결과다.과학기술정보통신부는 15일(현지시간) 닫기국제전기통신연합 (ITU : International Telecommunication Union): 국제연합(UN)이 발표한 2017년 ICT 발전지수에서 조사대상 176개국 중 우리나라가 2위를 차지했다고 밝혔다.,13,,,전자신문
"4차산업혁명위, ""혁신성장 실질 콘트롤타워 되겠다""",대통령 직속 4차산업혁명위원회가 스마트시티 조성·확산을 위한 스마트시티 특별위원회를 가동한다. 민·관 팀플레이를 통한 규제·제도 혁신에도 앞장선다.장병규 4차산업혁명위원회(이하 4차위) 위원장은 15일 간담회에서 “4차위가 혁신 성장을 이끌 실질 컨트롤타워로서 추진 속도를 높일 것”이라며 이같이 밝혔다.,15,,,전자신문
"평창 동계올림픽, 5G 주도권 확보 발판","“2018 평창 동계올림픽을 대한민국 5세대(5G) 이동통신 붐업 기회로 활용해 생태계를 확대하고 글로벌 시장 주도권을 확보하겠다.” KT 네트워크부문장 오성목 사장은 13일 전자신문 주최 '정보통신의 미래를 생각하는 모임'에서 이 같이 말했다. 오 사장은 '세계 최초 평창 5G 올림픽을 위한 도전'이라는 강연에서 역대 올림픽과 마찬가지로 평창 동계올림픽도 혁신 기술을 선보이는 기회의 장이며, KT는 5G 시범서비스를 차질 없이 준비하고 있다고 밝혔다.",20,,,전자신문
5G 주파수 기본단위 100㎒· 400㎒로 확정···경매·기술 표준화 기준,5세대(5G) 이동통신 주파수 기본 단위가 최대 100㎒(저대역)와 400㎒(고대역)로 각각 확정됐다. 주파수 경매와 기술 표준화를 좌우할 핵심 표준이 결정돼 5G 상용화에 속도가 붙을 전망이다.,33,,,전자신문
"KT, NB-IoT와 eMTC 동시 제공 기술 개발 성공","KT가 노키아와 LTE 기반 사물인터넷(IoT) 기술 NB-IoT와 eMTC를 하나의 기지국에서 동시 서비스하는 기술 시연에 처음 성공했다고 13일 밝혔다. eMTC(enhanced Machine Type Communication)는 LTE-M, NB-IoT와 더불어 LTE 기반 IoT 서비스를 완성하는 마지막 기술 중 하나로, NB-IoT가 이용하는 주파수 대역폭(200㎑)보다 다소 넓은 1.4㎒ 대역폭을 이용하는 통신 기술이다. eMTC는 보다 많은 데이터 전송량으로 VoLTE 서비스가 가능하고 eMTC에 연결되는 단말의 이동성을 보장한다.",22,,,전자신문
"LG유플러스, 서울 강남에서 5G 테스트 시작···“5G 허브 만들 것”","LG유플러스가 서울 강남에 5세대(5G) 이동통신 시험기지국을 개소, 5G 상용화 박차를 가한다. LG유플러스는 강남역 인근에 5G 시험기지국을 개소, 3.5㎓·28㎓ 주파수 대역을 활용해 5G 기술과 서비스 테스트를 시작했다고 13일 밝혔다.",28,,,전자신문
"SK텔레콤, 철도 안전 관제 IoT 설비 개발","SK텔레콤이 코레일, 네이블커뮤니케이션즈와 안전한 철도 이용을 위한 철도 사물인터넷(IoT) 시스템을 개발했다. 철도 IoT 시스템은 지난 5월 맺은 'IoT 기반 시설물 모니터링 시스템' 공동연구 협약에 따른 결실이다. IoT 전용망 '로라(LoRa)'와 롱텀에벌루션(LTE)을 활용, 효율적으로 철도를 관리하는 것이 핵심이다.",17,,,전자신문
"SK텔레콤, 'LTE Cat.M1' 개발···소물인터넷 포트폴리오 완성","SK텔레콤이 롱텀 에벌루션(LTE) 기반 사물인터넷(IoT) 기술 'LTE Cat.M1' 개발을 완료했다. 〈본지 9월18일자 2·9면 참조〉 'LTE Cat.M1'은 최고 속도 1Mbps로 LTE-M, 협대역 사물인터넷(NB-IoT)에 이은 LTE 기반 마지막 소물인터넷(IoST) 기술이다.",10,,,전자신문
"KT, SDN 기반 지능형 네트워킹 자동 솔루션 개발","KT는 소프트웨어 정의 네트워크(SDN) 기술을 적용한 '지능형 네트워킹 자동 솔루션'을 개발, '국제 IP 백본망(Backbone Network)'에 적용했다. KT 융합기술원이 개발한 지능형 네트워킹 자동 솔루션은 해저케이블 등으로 연결된 IP 네트워크를 자동 제어한다. KT는 복잡한 절차없이 실시간 수준의 트래픽 분산처리와 경로 변경이 가능, 고객에게 끊김 없는 서비스 품질을 제공할 수 있다고 설명했다.",23,,,전자신문
"5G네트워크 자동제어 기술 플랫폼 개발···LG유플러스, 코위버·HFR","LG유플러스가 국내 제조사 코위버·HFR과 5세대(5G) 이동통신 네트워크 자동제어 소프트웨어 개발 플랫폼 'SDK(Software Development Kit)'를 공동 개발했다.SDK는 다양한 네트워크 장비를 중앙에서 통합제어, 관리할 수 있는 소프트웨어 정의 네트워킹(SDN)'을 개발할 수 있는 프로그램으로, 이를 이용하면 5G장비를 자동으로 제어할 수 있는 소프트웨어를 만들 수 있다.",11,,,전자신문
"통신 필수설비, 일단은 개선부터","정부가 '통신 필수설비 제도 연구반'을 가동하며 제도 개선 절차에 본격 착수했다. 필수설비 의무 제공은 KT가 관로, 전신주, 케이블 필수설비를 독점하지 못하도록 경쟁사가 요구하면 반드시 개방하도록 의무를 부과한 제도이지만 실효성 논란이 끊이지 않자 전반에 걸친 개선을 시도한 것이다.    본격 제도 개선에 앞서 우선 제도가 제대로 운영되고 있는지, 문제점은 없는지 꼼꼼히 살펴보고 개선점을 찾는 일이 선결 조건이다.",19,,,전자신문
"과기정통부 내년 5G 주파수 경매 확정, 세계 최초","우리나라가 세계 최초로 2018년 5세대(5G) 이동통신 주파수 경매를 실시한다.   이통 기술 선도 국가로 지위를 굳히고 4차 산업혁명 시대 정보통신기술(ICT) 생태계에 새로운 전기를 마련하기 위한 포석이다. 과학기술정보통신부는 5G 후보 주파수인 3.5㎓ 대역과 28㎓ 대역 할당을 주요 내용으로 하는 '5G 주파수 할당 기본계획'을 연말 또는 내년 초에 조기 확정한다. 이를 토대로 이르면 내년 6월, 늦어도 10월에는 '5G 주파수 경매'를 시행한다는 기본 구상(로드맵)을 수립할 것으로 확인됐다.",18,,,전자신문
세계 최초 5G 상용화 눈앞에...글로벌 조화는 과제,과학기술정보통신부의 2018년 5세대(5G) 이동통신 주파수 조기할당 결정에 따라 우리나라는 5G 핵심 기술과 생태계 확보에 유리한 고지를 점할 것으로 기대된다. 주요 국가가 우리나라 행보를 예의주시할 것으로 예상된다. '나홀로' 주파수가 되지 않도록 국제 공조를 강화하는 건 과제다.    ◇5G 투자 불확실성 제거 2019년 5G 상용화를 현실화하는 과기정통부의 5G 주파수 할당 계획으로 이동통신 서비스 사업자는 연구개발(R&D)과 투자에 대한 불확실성을 상당부분 해소할 수 있게 됐다.,21,,,전자신문
"SK텔레콤, LTE보다 데이터 10배 빨리 처리하는 5G 기술 개발","SK텔레콤은 LTE48보다 트래픽을 10배 빨리 처리할 수 있는 5세대(5G) 네트워크 장비 기술을 개발했다. 기존 LTE 패킷 교환기가 처리 가능한 용량은 서버별 초당 20Gb(기가비트)였지만, SK텔레콤이 개발한 기술을 사용하면 동일한 용량의 서버에서 초당 200Gb를 처리할 수 있다.",19,,,전자신문
세계최초 5G 상용화 눈앞에...글로벌 조화는 과제,과학기술정보통신부의 2018년 5세대(5G) 이동통신 주파수 조기할당 결정에 따라 우리나라는 5G 핵심 기술과 생태계 확보에 유리한 고지를 점할 것으로 기대된다. 주요 국가가 우리나라 행보를 예의주시할 것으로 예상된다. '나홀로' 주파수가 되지 않도록 국제 공조를 강화하는 건 과제다.    ◇5G 투자 불확실성 제거 2019년 5G 상용화를 현실화하는 과기정통부의 5G 주파수 할당226 계획으로 이동통신 서비스 사업자는 연구개발(R&D)과 투자에 대한 불확실성을 상당부분 해소할 수 있게 됐다.,3,,,전자신문
"과기정통부 내년 5G 주파수 경매 확정, 세계 최초","우리나라가 세계 최초로 2018년 5세대(5G) 이동통신 주파수 경매를 실시한다.   이통 기술 선도 국가로 지위를 굳히고 4차 산업혁명 시대 정보통신기술(ICT) 생태계에 새로운 전기를 마련하기 위한 포석이다.    과학기술정보통신부는 5G 후보 주파수인 3.5㎓ 대역과 28㎓ 대역 할당을 주요 내용으로 하는 '5G 주파수 할당226 기본계획'을 연말 또는 내년 초에 조기 확정한다. 이를 토대로 이르면 내년 6월, 늦어도 10월에는 '5G 주파수 경매'를 시행한다는 기본 구상(로드맵)을 수립할 것으로 확인됐다.",3,,,전자신문
"KT, GPS 교란 막는 '시간 동기 기술' 개발","KT가 전파교란을 일으키는 재밍(Jamming) 공격에도 안정적인 통신 서비스를 제공하는 'IP 기반 시간 동기 기술'을 에릭슨과 개발, 시연에 성공했다. 기지국 간 안정적 데이터 전송을 위해서는 전송 시간을 맞추는 동기화가 필수다. 기지국 장비는 시간 정보를 위성항법장치(GPS)에서 수신 받아 시간을 동기화하는데, 재밍 공격을 받으면 강력한 방해전파로 GPS 정보를 수신하지 못한다. 시간 동기 기반 통신 서비스는 일시 마비된다.",12,,,전자신문
IoT 수도검침 시장 개화···로라·NB-IoT·와이선 경쟁 본격화,"사물인터넷(IoT) 기반 원격 수도검침 시장이 열렸다. 편리함과 신속성, 정확성과 경제성을 기대하며 도입을 추진하는 지방자치단체가 늘고 있다. 기반 기술인 로라와 협대역 사물인터넷(NB-IoT500), 와이선509 간 경쟁도 본격화됐다. 전 수용가(수도를 쓰는 가구나 공장 등) 2만4000전에 원격검침 시스템을 설치 중인 고창군과 대구시에 이어 부천시가 IoT 원격 수도검침 시스템 도입을 위한 정보전략계획(ISP)을 수립 중이고,   포항시는 내년 시범사업을 시작한다. 서울시와 부산시도 시범사업을 검토하고 있다.",41,,,전자신문
"GSA, 200개국에서 644개 사업자가 LTE 서비스",세계이동통신공급자협회(GSA)는 'LTE48 및 5G 시장현황 보고서'를 통해 세계 200개 국가에서 644개 사업자가 롱텀에벌루션(LTE) 이동통신을 서비스하고 있다고 발표했다. 이 중 57개국 100개 사업자가 시분할 LTE(LTE-TDD) 방식을 제공하며 대다수가 주파수분할(LTE-FDD) 방식을 쓰는 것으로 파악됐다. 33개 사업자는 두 방식을 동시 제공한다.,21,,,전자신문
"KT, 5G 네트워크·단말·서비스 연동 성공","KT가 평창 동계올림픽 개폐회식장, 주요 경기장에서 5세대(5G) 이동통신 시범망과 평창 5G 규격을 준수한 삼성전자 5G 단말을 연동하는데 성공했다고 27일 밝혔다.KT는 완성된 KT 5G 시범망과 5G 단말을 연결, 대용량 영상을 전송하는 '5G 서비스 시연'도 성공했다. 테스트 장비가 아닌 실제 단말이 5G 네트워크에 연결돼 서비스가 전달된 것은 이번이 처음이다",20,,,전자신문
"커넥티드카, 5G+와이파이 동시활용 길 열린다…글로벌 표준 부상",커넥티드카 양대 기술인 5세대(5G) 이동통신과 와이파이를 단일 대역에서 활용하는 주파수 표준이 개발된다.   양립이 불가능할 것으로 알려진 2개 기술의 공존 방안이 마련돼 글로벌 이통·자동차 시장에 새로운 전기가 마련될 것으로 전망된다.,24,,,전자신문
"3GPP, 5G 로드맵 공개···2018년 3분기부터 상용화 가능",국제표준화단체 3GPP66가 5세대(5G) 이동통신 표준개발 로드맵을 공개했다. 내년 3분기부터 5G 상용화가 가능할 전망이다. 3GPP는 국제전기통신연합16 이동통신작업반(ITU WP5D) 회의에서 'IMT-2020을 향한 3GPP 활동(3GPP activity towards IMT-2020)'을 주제로 5G 표준개발 일정과 주요 기술을 발표했다. IMT-2020은 5G 공식 명칭이다.,29,,,전자신문
5G 주파수 할당방식 논쟁 본격화,"과학기술정보통신부와 이동통신 3사가 5세대(5G) 이동통신 조기 상용화를 위한 주파수 할당226대가 산정방식 논의에 착수했다.   3.5㎓ 저대역과 28㎓를 한묶음으로 취급하는 세트경매, 5G 별도 예상매출 산정, 주파수 할당시기 등을 놓고 논쟁이 불가피할 전망이다.",23,,,전자신문
대한민국 5G 세계화 시동···ITU에 후보기술 의향서 제출,우리나라가 5세대(5G) 이동통신 세계화를 위한 공식 행보를 개시했다.과학기술정보통신부는 독일 뮌헨에서 열린 제28차 국제전기통신연합16(ITU) 이동통신 작업반(WP5D) 회의에서 '대한민국 5G 후보기술' 제출의향서를 제출했다. 우리나라의 5G 시장선도 의지를 세계에 알리고 국제표준 주도권을 확보하려는 포석이다.,30,,,전자신문
초연결사회를 한눈에···'2017 사물인터넷 진흥주간' 개막,"사람과 사물, 데이터 등 모든 것을 네트워크로 연결하는 '초연결사회'를 한눈에 볼 수 있는 장이 마련된다.    '2017 사물인터넷80 진흥주간(이하 IoT 진흥주간)'이 10일 코엑스에서 나흘 일정으로 개막된다. 과학기술정보통신부가 주최하고 한국사물인터넷협회 등이 주관하는 IoT 진흥주간은 '사물인터넷으로 연결하고 융합하는 4차 산업혁명'을 주제로 국내외 200여 기업이 참여한다.",11,,,전자신문
5G 기술개발 추진 국가는 42개국,"세계 42개국이 5세대(5G) 이동통신 기술 개발을 추진 중인 것으로 조사됐다 .세계이동통신사업자협회(GSMA)가 발표한 'Pre-5G 시장현황 보고서'에 따르면, 2017년 9월 초 기준 세계 42개국 81개 이동통신사업자가 Pre-5G 실험을 진행했거나 추진 중이다. Pre-5G는 5G 상용화를 위한 준비단계를 의미한다.",24,,,전자신문
"SK텔레콤·KT, ITU 텔레콤월드서 기술력 뽐내","SK텔레콤과 KT가 25일 부산 벡스코에서 개막하는 국제 정보통신기술(ICT) 전시회 'ITU16 텔레콤월드 2017'에 참가, 5세대(5G) 이동통신을 비롯한 첨단 ICT와 서비스를 선보인다.SK텔레콤은 지난해부터 에릭슨·인텔과 공동 개발한 5G 이동형 인프라 차량을 처음 공개한다. 5G 서비스에 필요한 모든 인프라와 서비스를 탑재했다.   5G가 전국에 상용화되기 전까지 5G 이동형 인프라를 활용, 5G 미구축 지역 고객에게 다양한 5G 서비스 체험을 제공할 계획이다. 5G 이동형 인프라 옆엔 자율주행차를 전시한다.",24,,,전자신문
제3차 한-중남미 ICT 장관포럼 “4차 산업혁명 협력”,"과학기술정보통신부는 24일 부산에서 미주개발은행(IDB)과 공동으로 제3차 한·중남미 ICT 장관포럼(이하 장관포럼)을 개최했다.  '디지털 인프라와 디지털 경제'를 주제로 열린 이날 포럼에는 중남미 및 카리브 지역 14개국 장·차관, 미주개발은행 관계자, 국내외 전문가 등 70여명이 참석했다.장관포럼은 부산선언문을 채택했다. 14개국 장·차관급 참석자는 부산선언문을 통해 4차 산업혁명으로 지칭되는 디지털 변혁의 시대에 디지털 경제 발전과 포용적 성장을 위한 실질적 협력 강화에 합의했다.",21,,,전자신문
[창간특집]과학기술정보통신부 '4차산업혁명 핵심 조력자',"과학기술정보통신부는 '4차 산업혁명 조력자(Enabler)'로 정보통신기술(ICT)과 과학 혁신 프로젝트를 추진한다. 인공지능(AI)과 사물인터넷80(IoT) 등 4차 산업혁명 핵심 기술을 선제 확보하는 동시에 ICT 융합을 통해 전 산업에 퍼져나갈 수 있도록 전략을 마련한다.   과기정통부는 범정부 4차산업혁명위원회 출범에 맞춰, 위원회를 중심으로 '범정부 차원 4차 산업혁명 종합대책'을 연내 수립한다. 이를 바탕으로 ICT 기반 미래 성장동력 사업을 구체화한다.",14,,,전자신문
바다에서도 지상파 UHD 방송과 간섭테스트 실시,"700㎒ 통합공공망을 쓰는 해상망(LTE48-M)과 지상파 초고화질(UHD) 방송 간 전파간섭 테스트가 실시된다.   과학기술정보통신부가 통합공공망과 지상파 UHD 전파 간 간섭 없음 결론을 내렸지만, 바다는 육지와 환경이 다른 만큼 별도 검증이 필요하다는 판단이다.",17,,,전자신문
5G·자율차 위한 비면허주파수 준비 본격화,"과학기술정보통신부가 5세대(5G) 이동통신과 자율주행차 등 미래 산업을 위해 비면허 주파수 대역을 정비했다. 5G 상용화와 4차 산업혁명을 앞당기기 위한 혁신기술 활성화 기반이 마련될 것으로 기대된다. 과기정통부는 5G 서비스를 위해 3.5㎓(3.4~3.7㎓) 대역 관련 고시를 개정, 상용화를 위한 주파수 준비를 완료했다.",15,,,전자신문
"첨단 ICT를 활용, 2018 평창 동계올림픽 붐 조성","과학기술정보통신부가 첨단 정보통신기술(ICT)를 활용, 2018 평창 동계올림픽·패럴림픽 붐 확산을 도모한다. 5세대(5G) 이동통신과 UHD 등 세계 최초 선보이는 혁신적 서비스를 조기 공개한다.과기정통부는 당초 11월로 예정된 5세대(5G) 센터 개관과 5G버스 운행을 각각 9월과 10월로 앞당긴다. UHD 초대형스크린 인천공항 구축시기도 12월에서 10월로 조정한다.",10,,,전자신문
글로벌 5G 시장 선도 첫 걸음···이달 '5G 표준 제출의향서' 제출,우리나라가 글로벌 5세대(5G) 이동통신 시장 선도를 위한 첫걸음을 내디딘다.과학기술정보통신부는 이달 '5G 표준(기술규격) 제출의향서'를 국제전기통신연합16(ITU)에 제출한다. 대한민국이 5G 표준을 만들고 있다는 사실을 세계에 알리는 한편 5G 표준과 시장을 선도하겠다는 의지를 표명하는 출사표다.,24,,,전자신문
"한국, 주요 정보화 지표 세계 1위···ICT 강국 재확인","우리나라가 주요 정보화 지표에서 세계 1위를 차지하며 정보통신기술(ICT) 강국으로서 위상을 재확인했다. 31일 과학기술정보통신부가 발표한 '2017년 국가정보화에 관한 연차보고서'에 따르면, 우리나라는 정보통신기술(ICT) 발전지수, 블룸버그 혁신지수, 가구 인터넷 접속률, 인터넷 평균접속속도에서 각각 세계 1위를 달성했다.",11,,,전자신문
"ICT산업, 경제성장 주도···다른 분야보다 성장률 2배 이상","국내 정보통신기술(ICT) 산업 성장률이 다른 분야보다 2배 이상 높은 것으로 나타났다. ICT산업 무역수지 흑자는 전 산업 무역수지 흑자 80% 이상을 차지하며 무역 효자 노릇을 하는 것으로 조사됐다. 3일 과학기술정보통신부가 발표한 '2017 정보통신산업 진흥에 관한 연차보고서'에 따르면, ICT산업이 우리나라 경제성장을 주도하고 있으며 창업·벤처 환경 개선으로 ICT 창업·벤처 수가 계속 증가하는 것으로 파악됐다.",7,,,전자신문
"[정보통신미래모임]유영민 과기정통부장관 ""5G 상용화 앞당기겠다""",“2019년으로 예정된 5세대(5G) 이동통신 상용화 일정을 앞당기겠다. 5G는 초연결사회에 진입하기 위한 정보통신기술(ICT) 혁신의 밑바탕이 될 것이다.”유영민 과학기술정보통신부 장관은 31일 전자신문이 서울 창조경제혁신센터에서 주최한 '정보통신의 미래를 생각하는 모임'에서 이같이 밝혔다.,11,,,전자신문
"이통 3사-노키아, 5G 협력 논의",이동통신 서비스 3사가 노키아와 5세대(5G) 이동통신 시범서비스와 기술 협력을 논의했다.황창규 KT 회장은 25일 라지브 수리 노키아 최고경영자(CEO)와 평창 5G 시범서비스를 비롯 네트워크 기술 협력 방안을 협의했다. 양사는 차세대 무선접속 기술 'NR(New Radio)' 기반 5G 상용화 일정을 앞당기기 위해 평창 5G 시범 서비스 이후에도 5G 규격 협의체 결속력을 강화하기로 했다.   또 글로벌 단체에서 표준화 활동 시 전파 전송 기술뿐만 아니라 5G 네트워크 전체 컨트롤타워 역할을 수행하는 코어 네트워크 기술 개발을 위한 새로운 분과(Working Group) 구성을 약속했다.,26,,,전자신문
"주파수 대가, '시장전체' 아닌 '해당서비스 예상매출' 기반해야",주파수 할당대가를 '시장 전체 예상 매출액'이 아닌 '해당 주파수를 이용한 서비스 예상 매출액' 기준으로 산정해야 한다는 주장이 제기됐다.  이홍재 아주대 교수는 24일 한국산업조직학회 학술대회에서 '5G 주파수 경매의 최저경쟁가격 산정방식 고찰'을 주제로 발표하며 현재 주파수 대가 산정방식 문제점을 지적했다.이 교수는 '과다한 주파수 비용'을 개선해야 한다고 주장했다.,17,,,전자신문
"한국방송통신전파진흥원, 인재 모집···“좋은 일자리 창출”","한국방송통신전파진흥원(KCA, 원장 서석진)이 좋은 일자리 창출과 4차 산업혁명을 선도할 유능한 인재를 모집한다. 경영기획, 방송통신전파정책, 정보보안 분야 경력과 정보통신기술(ICT) 정책, 무선국검사, 사무행정 분야 신입을 선발한다. 신입은 국가직무능력표준(NCS)방식에 기반한 블라인드 채용 방식을 적용한다.",27,,,전자신문
'비면허주파수' 활용 가속···이통사 부담 줄어든다,비면허대역 주파수 활용기술 상용화에 속도가 붙었다. 이동통신 서비스 사업자가 주파수 추가 확보 부담 없이 서비스 속도와 품질을 높이고 커버리지를 확대하는데 일조할 전망이다.,11,,,전자신문
글로벌 5G 주파수 공급 경쟁 가열,"5세대(5G) 이동통신 주파수 공급이 빨라지고 있다. 일본과 중국, 미국, 유럽연합(EU)이 세계 최초 5G 상용화와 시장 선점을 목표로 주파수 공급 계획을 수립, 실행에 돌입했다. 우리나라는 내년 하반기 5G 주파수 공급을 계획하고 있다.   한국방송통신전파진흥원(KCA) '국제 5G 주파수 공급 추진현황' 자료에 따르면 주요 국가 전파·통신 규제기관이 5G 도입을 위한 주파수 공급에 박차를 가하고 있다.",20,,,전자신문
